0,1,2,3,4,counts
www.samsung.com,us,appstore,app,G19039012491,1
www.samsung.com,us,appstore,app,G19038012488,1
www.samsung.com,us,appstore,app,G19036012479,1
www.samsung.com,us,appstore,app,G19036012477,1
www.samsung.com,us,appstore,app,G19033012474,1
www.samsung.com,us,appstore,app,G19032012473,1
www.samsung.com,us,appstore,app,G19030012458,1
www.samsung.com,us,appstore,app,G18330012201,1
www.samsung.com,us,appstore,app,G18325012196,1
www.samsung.com,us,appstore,app,G18325012189,1
www.samsung.com,us,appstore,app,G18024010882,1
www.samsung.com,us,appstore,app,G18017010862,1
www.samsung.com,us,appstore,app,G18017010864,1
www.samsung.com,us,appstore,app,G18018010868,1
www.samsung.com,us,appstore,app,G18019010872,1
www.samsung.com,us,appstore,app,G18023010875,1
www.samsung.com,us,appstore,app,G18023010879,1
www.samsung.com,us,appstore,app,G18024010885,1
www.samsung.com,us,appstore,app,G18016010842,1
www.samsung.com,us,appstore,app,G18025010891,1
www.samsung.com,us,appstore,app,G18031010899,1
www.samsung.com,us,appstore,app,G18032010907,1
www.samsung.com,us,appstore,app,G18032010910,1
www.samsung.com,us,appstore,app,G18032010913,1
www.samsung.com,us,appstore,app,G18033010922,1
www.samsung.com,us,appstore,app,G18016010853,1
www.samsung.com,us,appstore,app,G18014010835,1
www.samsung.com,us,appstore,app,G18037010928,1
www.samsung.com,us,appstore,app,G17363010762,1
www.samsung.com,us,appstore,app,G17356010719,1
www.samsung.com,us,appstore,app,G17356010722,1
www.samsung.com,us,appstore,app,G17360010728,1
www.samsung.com,us,appstore,app,G17360010738,1
www.samsung.com,us,appstore,app,G17361010743,1
www.samsung.com,us,appstore,app,G17361010746,1
www.samsung.com,us,appstore,app,G18003010768,1
www.samsung.com,us,appstore,app,G18012010833,1
www.samsung.com,us,appstore,app,G18003010771,1
www.samsung.com,us,appstore,app,G18003010773,1
www.samsung.com,us,appstore,app,G18010010816,1
www.samsung.com,us,appstore,app,G18011010823,1
www.samsung.com,us,appstore,app,G18012010831,1
www.samsung.com,us,appstore,app,G18012010832,1
www.samsung.com,us,appstore,app,G18033010927,1
www.samsung.com,us,appstore,app,G18037010933,1
www.samsung.com,us,appstore,app,G18325012184,1
www.samsung.com,us,appstore,app,G18092011120,1
www.samsung.com,us,appstore,app,G18085011086,1
www.samsung.com,us,appstore,app,G18089011109,1
www.samsung.com,us,appstore,app,G18089011111,1
www.samsung.com,us,appstore,app,G18089011112,1
www.samsung.com,us,appstore,app,G18089011114,1
www.samsung.com,us,appstore,app,G18089011117,1
www.samsung.com,us,appstore,app,G18095011134,1
www.samsung.com,us,appstore,app,G18080011078,1
www.samsung.com,us,appstore,app,G18095011138,1
www.samsung.com,us,appstore,app,G18095011144,1
www.samsung.com,us,appstore,app,G18108011166,1
www.samsung.com,us,appstore,app,G18116011199,1
www.samsung.com,us,appstore,app,G18122011208,1
www.samsung.com,us,appstore,app,G18123011214,1
www.samsung.com,us,appstore,app,G18081011080,1
www.samsung.com,us,appstore,app,G18074011071,1
www.samsung.com,us,appstore,app,G18037010935,1
www.samsung.com,us,appstore,app,G18059011001,1
www.samsung.com,us,appstore,app,G18045010949,1
www.samsung.com,us,appstore,app,G18047010958,1
www.samsung.com,us,appstore,app,G18053010967,1
www.samsung.com,us,appstore,app,G18054010973,1
www.samsung.com,us,appstore,app,G18057010975,1
www.samsung.com,us,appstore,app,G18058010985,1
www.samsung.com,us,appstore,app,G18060011006,1
www.samsung.com,us,appstore,app,G18074011068,1
www.samsung.com,us,appstore,app,G18062011012,1
www.samsung.com,us,appstore,app,G18064011015,1
www.samsung.com,us,appstore,app,G18064011020,1
www.samsung.com,us,appstore,app,G18067011031,1
www.samsung.com,us,appstore,app,G18073011058,1
www.samsung.com,us,appstore,app,G18074011063,1
www.samsung.com,us,appstore,app,G17356010717,1
www.samsung.com,us,appstore,app,G17355010714,1
www.samsung.com,us,appstore,app,G17352010685,1
www.samsung.com,us,appstore,app,G17284010357,1
www.samsung.com,us,appstore,app,G17281010312,1
www.samsung.com,us,appstore,app,G17282010314,1
www.samsung.com,us,appstore,app,G17283010322,1
www.samsung.com,us,appstore,app,G17283010324,1
www.samsung.com,us,appstore,app,G17283010339,1
www.samsung.com,us,appstore,app,G17284010341,1
www.samsung.com,us,appstore,app,G17284010359,1
www.samsung.com,us,appstore,app,G17278010306,1
www.samsung.com,us,appstore,app,G17285010362,1
www.samsung.com,us,appstore,app,G17285010364,1
www.samsung.com,us,appstore,app,G17285010366,1
www.samsung.com,us,appstore,app,G17286010372,1
www.samsung.com,us,appstore,app,G17286010374,1
www.samsung.com,us,appstore,app,G17289010378,1
www.samsung.com,us,appstore,app,G17281010309,1
www.samsung.com,us,appstore,app,G17277010299,1
www.samsung.com,us,appstore,app,G17349010682,1
www.samsung.com,us,appstore,app,G17251010223,1
www.samsung.com,us,appstore,app,G17243010190,1
www.samsung.com,us,appstore,app,G17247010198,1
www.samsung.com,us,appstore,app,G17247010201,1
